,labelId,imageId,taskId,labelName,taskName,tasknum,task1,task2
0,6,1,5,printed,dress:decoration,2,dress,decoration
1,7,2,6,purple,dress:color,2,dress,color
2,8,3,7,velvet,dress:material,2,dress,material
3,10,4,9,sneaker,shoe:type,2,shoe,type
7,23,7,6,red,dress:color,2,dress,color
10,30,9,12,short,dress:length,2,dress,length
14,39,13,6,green,dress:color,2,dress,color
17,40,16,3,silver,shoe:color,2,shoe,color
19,42,18,20,kids,outerwear:age,2,outerwear,age
20,1,19,15,men,outerwear:gender,2,outerwear,gender
21,42,19,20,kids,outerwear:age,2,outerwear,age
23,47,21,18,high,shoe:heel type,2,shoe,heel type
24,53,22,30,embroider,shoe:decoration,2,shoe,decoration
25,23,23,6,red,dress:color,2,dress,color
26,57,24,10,laceup,shoe:closure type,2,shoe,closure type
28,60,26,13,parka,outerwear:type,2,outerwear,type
29,39,26,17,green,outerwear:color,2,outerwear,color
30,36,26,19,hooded,outerwear:collar,2,outerwear,collar
32,63,28,21,wool blends,outerwear:material,2,outerwear,material
33,23,29,6,red,dress:color,2,dress,color
34,64,29,7,satin,dress:material,2,dress,material
35,67,30,25,skeleton,pants:pattern,2,pants,pattern
36,3,31,3,black,shoe:color,2,shoe,color
37,11,31,10,slipon,shoe:closure type,2,shoe,closure type
38,60,32,13,parka,outerwear:type,2,outerwear,type
39,71,33,13,jackets,outerwear:type,2,outerwear,type
40,29,34,18,wedges,shoe:heel type,2,shoe,heel type
41,29,34,30,wedges,shoe:decoration,2,shoe,decoration
42,27,35,13,coats,outerwear:type,2,outerwear,type
43,75,36,35,cap,dress:sleeve length,2,dress,sleeve length
45,72,38,14,red carpet,dress:occasion,2,dress,occasion
46,41,39,6,pink,dress:color,2,dress,color
47,15,40,17,navy,outerwear:color,2,outerwear,color
48,77,41,5,beading,dress:decoration,2,dress,decoration
49,82,42,37,embroidered,dress:pattern,2,dress,pattern
50,3,43,17,black,outerwear:color,2,outerwear,color
51,84,44,3,gold,shoe:color,2,shoe,color
53,55,46,37,floral,dress:pattern,2,dress,pattern
54,86,47,6,coral,dress:color,2,dress,color
55,3,48,3,black,shoe:color,2,shoe,color
56,89,49,12,mini,dress:length,2,dress,length
66,27,54,13,coats,outerwear:type,2,outerwear,type
71,94,59,26,faux leather,pants:material,2,pants,material
72,98,60,6,royal blue,dress:color,2,dress,color
73,100,61,21,woolen,outerwear:material,2,outerwear,material
74,101,61,21,wool,outerwear:material,2,outerwear,material
75,10,62,9,sneaker,shoe:type,2,shoe,type
76,4,63,15,women,outerwear:gender,2,outerwear,gender
79,37,66,6,white,dress:color,2,dress,color
80,22,67,9,boot,shoe:type,2,shoe,type
81,10,68,9,sneaker,shoe:type,2,shoe,type
84,111,70,6,gray,dress:color,2,dress,color
85,112,70,7,cotton,dress:material,2,dress,material
87,8,72,21,velvet,outerwear:material,2,outerwear,material
